algorithm,run_name,variant,mean_score_mean,mean_score_std,mean_reward_mean,mean_reward_std,elapsed_mean_sec
a2c,a2c_variants,a2c_baseline,120.53333333333335,2.623915649050733,118.31425641237331,2.6170545428247993,622.8500481446584
dqn,dqn_variants,dqn_batch_big,152.52666666666667,2.66415715252185,150.3350167642526,2.7497366452863847,1933.752827723821
mppo,mppo_variants,mppo_baseline,140.72,5.804963393510773,138.6183299469742,5.72162845605269,2168.377002954483
ppo,ppo_variants,ppo_baseline,125.76666666666665,1.2744148984272474,123.58785998619085,1.2035551909766193,1846.8318609396617
qrdqn,qrdqn_variants,qrdqn_nq25_batch128,155.60666666666668,3.7102201192561726,153.45276668621227,3.813736384000766,3592.419873317083
